Funcloc,Alamat1,Alamat2,Alamat3,Alamat4,SiteName
100000004915,Jl. Laodeng RT 1/9,"Kel. Bukit Indah,",Kec. Soreang,"PARE PARE, KOTA",Huff Ltd
100000004916,Kab. Maluku Tengah,Desa Ihamahu.,Kec. Saparua,MALUKU TENGAH,"Raymond, Hall and Hancock"
100000004917,Jl.Herlina Kampung Kombe.RT.05/02.,Kel Kombe Distrik M,Merauke,MERAUKE,Aguilar LLC
100000004918,Jl. Poros Pomako,Pomako,Pomako,MIMIKA,"Hammond, Howard and Fox"
100000004919,Jl. Kuburan RT.01 RW.01,Kel. Hinekombe Distrik Sentani,Jayapura,JAYAPURA,Frye LLC
100000004920,Jl. Gagak. Rt 021.,Kel. Sriwini.,Kec. Nabire.,NABIRE,Lewis Ltd
100000004921,Dusun 3,Kel saoka,Kec Sorong Barat,SORONG,Gardner Ltd
100000004924,Jl Bukit Pagaran Tangki,kel. Desa Alahan Kai,kec. Ulupungkut,MANDAILING NATAL,"Clark, Thomas and Hall"
100000004926,Jl.Desa Kp.Karangkulon RT.02/04,Sunan,Kutoarjo,PURWOREJO,"Flores, Murphy and White"
100000004927,Jl.Patimura RT.17 RW.02,Desa Pagelaran,Kec.Pagelaran,MALANG,Cook and Sons
100000004928,JL. Poros Samabusa,Kampung Lani,Teluk Kimi,NABIRE,"Day, Tapia and Greer"
100000004929,Jl. Silas Papare. RT/RW. XIII.,Papare,Kel. Nabarua,NABIRE,Hayes PLC
100000004930,Jl. Palapa,Kel. Bintuni Timur.,Bintuni,TELUK BINTUNI,Gordon-English
100000004931,Bintang Serule Desa Kuala Dua Bintang,persatuan,mandobo,Boven Digoel,"Reid, Harris and Underwood"
100000004932,Wonorejo (Wangar - Girimulyo),Wonorejo,Wonorejo,NABIRE,"Cohen, Jensen and Kennedy"
100000004933,Jalan Krida Utama. RT. 01,Kampung Krida,Obaa,MAPPI,Walker-Diaz
100000004934,"Dusun Bonti Bonti,","Desa Mattoangin,",Kec Bantimurung,MAROS,Barton PLC
100000004935,"Jl. Trans Yamdena,",Ds Sifnana,Kec. Tanibar selatan,MALUKU TENGGARA,Elliott PLC
100000004936,Ds Olilit,Ds Olilit,Kec. Tanibar selatan,MALUKU TENGGARA,Wade Group
100000004938,Jl. Dr. Wahidin Sudirohusodo Rt.02 Rw.34,Kel. Sei Jawi,Kec. Pontianak Kota,"PONTIANAK, KOTA",Hickman-White
100000004940,"Dusun II, Jaga IV,","Desa Kiama,",Kec. Melonguane,KEPULAUAN TALAUD,King Ltd
100000004941,"Jln. Lendongan II,","Ds. Peling Sawang,",Kec. Siau Barat,KEPULAUAN SIAU TAGULANDAN,Rivas-Kim
100000004945,Jl Bitoa Lama Rt 02 Rw 04,"Kelurahan Manggala ,",Kecamatan Panakukang,"MAKASSAR, KOTA",Golden-King
100000004947,"Dusun Viii Syahbandar, Serdang Bedagai","Desa Kampung Lalang,",Serdang Bedagai,SERDANG BEDAGAI,Diaz-Rodriguez
100000004948,"Desa Waprea,","Desa Waprea,",Kec.Waplau,BURU,"Fleming, Vasquez and Farrell"
100000004949,Kan Buru,Desa sawa,Kec. Namlea,BURU,Schultz Ltd
100000004950,"Desa Ubung,","Desa Ubung,",Kec. Namlea,BURU,"Jones, Smith and Shields"
100000004951,Dusun Air Papaya,Desa Iha,Kec. Seram Barat,SERAM BAGIAN BARAT,Bryant Inc
100000004952,"Desa Buya,","Desa Buya,",Kec. Mangoli Selatan,KEPULAUAN SULA,Macias-Cooper
100000004953,"Desa losseng,","Desa losseng,",Kec. Taliaubu Timur,KEPULAUAN SULA,Ingram PLC
100000004955,"Desa Mangoli,","Desa Mangoli,",Kec. Mangoli Tengah,KEPULAUAN SULA,"Delgado, Stewart and Oliver"
100000004956,"Desa Holbota,","Desa Holbota,","Kec. Taliabu Barat,",KEPULAUAN SULA,"Orozco, Anderson and Kramer"
100000004958,Dusun Pasar Balok Km15,Desa bandar tengah,kec. Bandar khalifah,SERDANG BEDAGAI,Jordan LLC
100000004960,Dusun II.,Desa Sayum Sabah.,Kecamatan Sibolangit,DELI SERDANG,Stewart-Cabrera
100000004961,"Dusun II ,","Kel. Desa Tangkahan ,","kec. Namorambe ,",DELI SERDANG,Williams-Taylor
100000004962,"Desa Onozitoli Sawo ,",Kel. Desa Onozitoli Sawo,kec. Sawo,NIAS UTARA,"Fernandez, Moore and Wang"
100000004963,"Dusun Kenanga,","Desa Sidodadi,",Kecamatan Kejuruan Muda,ACEH TAMIANG,"Kim, Suarez and Howard"
100000004964,Jl.Keude Matang##â‚¬â€#Tanoh Anoe Dsn Tu,Ds Pulo Reudep,Jangka,BIREUEN,Martinez Ltd
100000004968,"Jl. Pasi, Dusun Tengku Kuta Awe ,","Kel. Desa Sawang ,",kec. Samudera,ACEH UTARA,"Summers, Harris and Peterson"
100000004969,"Desa Dalu Sepuluh,","Desa Dalu Sepuluh,",Kec. Tanjung Morawa,DELI SERDANG,Scott-Powell
100000004973,Jl. Garuda Sakti KM 6 RT 15 RW 04,Desa Karya Indah,Kec. Tapung.,KAMPAR,Brown-Johnson
100000004975,Sri Pendowo RT. 04/ RW.02,Desa Pasiran Jaya,Kecamatan Dente Teladas,TULANG BAWANG,Bradshaw-Dominguez
100000004976,"RT. 05 RW.02,","Desa Kejadian,",Kecamatan Way Serdang,MESUJI,Burns PLC
100000004977,Gedung Cahya Kuningan,Cahya Kuningan,Ngambur,PESISIR BARAT,"Alvarez, West and Andrews"
100000004978,Dusun Rindu Hati,"Desa Mulya Saya,",Kecamatan Rebang Tangkas,WAY KANAN,Smith and Sons
100000004979,Dusun arang-arang rt.01,desa arang-arang,kec. Kumpeh ulu,MUARO JAMBI,"Fleming, Boyle and Myers"
100000004980,Desa Blang Panu Kec.Syiah Utama,Ds Blang Panu,Syiah Utama,BENER MERIAH,"Wiggins, Dorsey and Hughes"
100000004981,Dsn I,Desa Karang Anyar,Kec. Muara Padang,BANYUASIN,Gonzalez and Sons
100000004982,Dusun III Pasir Putih,Desa Tapadaa,Kec. Botumoito,BOALEMO,"Thompson, Lee and Hughes"
100000004983,"Desa Lelato,","Desa Lelato,",Kec. Sumalata,GORONTALO UTARA,Mcguire LLC
100000004984,Dusun Ulintapo,Desa Tanjung Harapan,Kecamatan Wonosari,BOALEMO,King-Garcia
100000004985,Kp. Pasir limus Rt. 4 Rw. 3,Desa. Wangun harja,kec. Cikarang utara,BEKASI,"Lee, Miller and Mercer"
100000004986,"Jl desa waimangit,","desa waimangit,",Kec. Air Buaya,BURU,Miller Ltd
100000004987,Alakasing,Alakasing,Alakasing,MOROWALI,Schroeder Inc
100000004988,Desa Tikupon,Desa Tikupon,Kec. Bualemo,BANGGAI,Barnes-Lowery
100000004989,Dusun Manampak,"Desa Massing,",kec. Batui selatan,BANGGAI,Aguirre-Cortez
100000004990,RT 1 Dusun 1,Desa Petumbea,Kec. Lembo Raya,MOROWALI,Jackson-Hunter
100000004992,RT.2 RW.1,"Desa Didiri,","Kec. Pamona Timur,",POSO,Matthews-Ryan
100000004993,Gintu,Gintu,Gintu,MOROWALI,Rivera-Richard
100000004995,LIA LIND III.,"Kel. LIA,",Kec.Siau Timur,KEPULAUAN SIAU TAGULANDAN,Lewis-Richardson
100000004996,"Dusun II,","Desa Lahu,",Kec. Gemeh,KEPULAUAN TALAUD,Oconnor-Whitaker
100000004997,Desa tarun,Desa tarun,"Kec. Molonguane,",KEPULAUAN TALAUD,Rocha-Sanchez
100000005001,"Pt Prakasa Tani Sejati,","Ds. Teluk Bayur,",Kec. Sungai Laur,KETAPANG,Johnson PLC
100000005003,Jl.Desa sungai pinang RT.03/02 Dusun I,Desa Sungai Pinang,Kec.Lingga,LINGGA,Williams-Robinson
100000005005,"Dsn. Pucangan RT 6 RW 1,","Desa Pucangan,",kec. Ngrambe,NGAWI,"Baker, Roberts and Gallegos"
100000005006,Randupitu Gempol (Pandaan-Gn Gangsir),Randupitu,Gempol,PASURUAN,"Meyer, Osborn and Evans"
100000005007,"RT7/RW4, Ds Sari Kc. Sape Kb. Bima",Sari,Sape,Bima,Hall and Sons
100000005013,"Jl. Raya Kepahiang-Pagar Alam,","Desa Imigrasi Permu,",Kec. Kepahiang,KEPAHIANG,"Benjamin, Robinson and Merritt"
100000005014,Dusun Ii Balukang,Desa Balukang,Kec.Sojol,DONGGALA,"Brown, Nelson and Durham"
100000005015,Jl.Hj.Moh Saleh - Sendana,Desa.Sendana,Kec.Galang,TOLI TOLI,Galvan-Wright
100000005016,Jl.Poros Kendari - Moramo,Kel.Lalowaru,Kec.Moramo Utara,KONAWE SELATAN,Mcmillan-Glass
100000005017,Jl.Perkantoran,Kel.Laosu,Kec.Bondoala,KONAWE UTARA,"Chapman, Craig and Hudson"
100000005018,Dusun Dangkang,Desa Barowa,Kec. Bua,LUWU,Bush Inc
100000005021,Dusun Bali indah 2 RT 004,"desa mekar jaya,",kecamatan mappedeceng,"KENDARI, KOTA","Hayes, Jenkins and Ferguson"
100000005022,Jl. BalaiKota II,Kel. Pondabea,Kec. Kadia,"KENDARI, KOTA",Williams-Griffith
100000005023,"DUSUN I,","DESA TELUK MAJELIS,",KEC. KA JAMBI,TANJUNG JABUNG TIMUR,Chandler and Sons
100000005024,"Dusun Sri Rahayu,","Desa Rantau Jaya,",Kec. Rantau Jaya,TANJUNG JABUNG TIMUR,Phillips Group
100000005025,"Lr gede,Dusun lapangan,",Kel.Gampong Batu Duabelas,Kec.Cot Girek,ACEH UTARA,Robbins-Richardson
100000005032,"Jl. Lintas Taspel - Sumbar,","Desa Tobang,",Kec. Kotanopan,MANDAILING NATAL,Jackson-Johnston
100000005044,"Jl. Poros Lapandewa,","Dusun Sempa sempa,",Kec. Lapandewa Makmur,BUTON,Adams Group
100000005045,"Dusun 1,","Desa Pudambu,",Kec. Angata,KONAWE SELATAN,Ruiz-Allen
100000005046,"Jl. Poros Togomangura,",Desa. Togomangura,Kec Lasalimu,BUTON,Stephens and Sons
100000005048,Jl. Halmahera-dumdum Pantai (Jl. Boki),Desa Konto Mekar,Kec. Kao teluk,HALMAHERA UTARA,Richards Ltd
100000005049,IV Lingkungan 1,Desa Paal,Kec. Tikala,"MANADO, KOTA","Vega, Mcintosh and Yoder"
100000005050,"Desa kelurahan Pinaras,","Desa kelurahan Pinaras,",Kec. Tomohon Selatan,"TOMOHON, KOTA","Turner, Burnett and Mcguire"
100000005051,"Jl. Trans seram Negeri Elpa Putih,",Elap Putih,Kec. Elap Putih,SERAM BAGIAN BARAT,Copeland-Donovan
100000005052,Kel./Desa Pangolombian,Kel./Desa Pangolombian,Kec. Tomohon Selatan,"TOMOHON, KOTA",Gaines-Rodriguez
100000005053,Jl Poros,"Desa Lumu,",Kecamatan Budong-Budong,MAMUJU,Mcbride-Adams
100000005057,Jl. Gatot Subroto,Kel. Kalukubodoa,Kec. Tallo,"MAKASSAR, KOTA","Price, Mcdonald and Shields"
100000005059,Jl. Trans Langowan-ratahan,Desa raranon jaga 2,Kec. Langowan barat,MINAHASA,Stewart-Miller
100000005064,"Jalan Toansang, Dusun Toansang,","Desa Bonda,",Kec Papalang,MAMUJU,Pitts-Jackson
100000005065,Split_2012_190,Sidenreng Rappang,Sidenreng Rappang,SIDENRENG RAPPANG,"Peck, Burke and Murray"
100000005066,JL. H. ABD. Malik Pattana Endeng,Pattana,Endeng,MAMUJU,Hudson Group
100000005067,Jl. Lingkungan,"desa Ake Tola,",Kec. Sahu timur,HALMAHERA BARAT,"Perez, Reyes and Lloyd"
100000005068,"Jl. Manurunge, RT.01/RW.08, Matajang","Kel. Manurunge,","Kec. Tanete Riattang,",BONE,"Henry, Fisher and Johnson"
100000005069,Jl. Tolindo - Trans Sulawesi Pasangkayu,Desa Karya Bersama,Kec. Pasang Kayu,MAMUJU UTARA,Johnson-Wood
100000005070,"Jl. Tolire ,(samping tower indosat)",Kelurahan Loto,Kecamatan Pulau Ternate,"TERNATE, KOTA","Prince, Salazar and Hernandez"
100000005071,Jl.Palapa Reremi,"Kel.Manokwari Barat,","Kec.Manokwari,",MANOKWARI,Krueger-Morris
100000005072,"Jl. Raya Lintas Tehoru-Masohi, RT. 06","Desa. Haya,",Kec. Tehoru,MALUKU TENGAH,"Hill, Daniels and Krueger"
100000005074,Perumahan PNS Pemda Halmahera Timur,Desa Soa Sangaji,Kec. Jikomolon,HALMAHERA TIMUR,Dodson-Ward
100000005075,"Dusun Flamboyan, RT 03 RW 01,","Kelurahan/Desa Waenetat,","Kecamatan Wae Apo,",BURU,Lopez-King
100000005076,"Jl. Basuki Rahmat, RT. 001/RW.002,",Desa. Walenokedi,Sorong,SORONG,Morales LLC
100000005081,Jl. Merdeka Rt.04 /w.01,Kel. Karang Mulia Distrik,Nabire,NABIRE,Harrison and Sons
100000005082,SP2 Sorong ex. Wondiboi Ex Misol,Sorong,Sorong,SORONG,"Sanford, Hicks and Miller"
100000005083,Jl.Yos Sudarso Rt.01 Rw.06,Kel Wamena Kota,Kec.Wamena,JAYAWIJAYA,Brown-Todd
100000005085,Kampung Katebu,"Kel.Andai,",Manokwari Selatan,MANOKWARI,"Klein, Fowler and Harris"
100000005091,Jalan Lettu Idrus,Kel. Kaimana Kota,Kec.Kaiamana,KAIMANA,Hughes-Horn
100000005094,Jl.Bayangkara Rt.01 Rw.04,Kel Wamena Kota,Kec.Wamena,JAYAWIJAYA,Mcintosh Group
100000005099,Muara Soma Batang Natal Mandailing Natal,muara soma,batang natal,Mandailing Natal,Kelley-Williams
100000005100,"Dusun Viii,","Desa Tanjung Parapat,",Kecamatan Sei Suka,BATU BARA,Mcdonald Group
100000005102,"Jl. Lelawangsa,","Kelurahan Tanjung Medan,",Kecamatan Bilah Barat,LABUHANBATU,Williams-Smith
100000005103,"Jln. Kebun Cisadani Sawit Raya,","Desa Sei Tarolat,",Kecamatan Bilah Hilir,LABUHANBATU,Cannon Ltd
100000005104,Alur Naga Jl.Pasar VII Dsn Indra Kaya Hi,Ds Pangkatan,Pangkatan,LABUHANBATU,West-Thomas
100000005107,"Dusun Durian Lingga,","Desa Namu Tating,",Kecamatan Sei Bingai,LANGKAT,Spencer Group
100000005108,"Ujung Payung ,Iv Namo Terasi ,",Desa Pasar,Kec Sei Bingai,LANGKAT,"Lee, Webb and Maddox"
100000005109,"Desa Mancang,","Desa Mancang,",Kecamatan Selesai,LANGKAT,Singleton LLC
100000005110,"Dusun Vi Teluk Meku Sungai ,","Desa Teluk Meku ,","Kecamatan Babalan ,",LANGKAT,Page LLC
100000005112,Dusun Neulop Mate,"Desa Udeung,",Kecamatan Bandar Baru,PIDIE JAYA,Levine-Jacobson
100000005113,Desa Awe Geutah,Desa Awe Geutah,Bireuen,BIREUEN,"Allen, Gardner and Davenport"
100000005114,Dusun Blang Baroe,"Desa Alue Wakie,",Kecamatan Darul Makmur,NAGAN RAYA,Cox Group
100000005116,"Jalan Lintas Gunung Tua-Sibuhuan,","Desa Tangga Bosi,","Kecamatan Lubuk Barumun,",PADANG LAWAS,Reyes-Martin
100000005120,"Desa Onan Runggu 3,",Desa Onan Runggu,Kecamatan Sipahutar,TAPANULI UTARA,Johnson-Church
100000005123,"Jl. TGK Di Ujung,","Desa Dihit,","Kecamatan Simeulue Tengah,",SIMEULUE,"Rocha, Kelly and Mcguire"
100000005124,"Desa Ketukah,","Desa Ketukah,",Kecamatan Blang Jerango,GAYO LUES,Henry-Ward
100000005126,Antara Site Tambangan-Kotanopan,Desa Muara Mais,Mandailing Natal,MANDAILING NATAL,Chavez-Jones
100000005128,"Dusun Ujung Juhar,","Desa Sei Musam,",Kecamatan Batang Serangan,LANGKAT,Patrick-Lynch
100000005129,"Jl.Dusun Sugih Waras ,","Desa Perhiasan ,",Kecamatan Selesai,LANGKAT,"Bowman, Williams and Goodman"
100000005130,"Jl. Sei Wampu Dusun I,","Desa Tanjung Lenggang,",Kecamatan Bohorok,LANGKAT,Bond Group
100000005131,"Jl. Dusun Ii Mekar Jaya,","Desa Suka Damai,","Kecamatan Kuala,",LANGKAT,Stephens-Smith
100000005132,"Desa Gorak,","Desa Gorak,",Kecamatan Pematang Sidamanik,SIMALUNGUN,Hansen LLC
100000005134,"Dusun XI,","Desa Sei Dua Hulu,","Kecamatan Simpang Empat,",ASAHAN,Watson-Porter
100000005135,"Desa Huta Raja,","Desa Huta Raja,",Kecamatan Ranto Baek,MANDAILING NATAL,Kelley Group
100000005136,"Jl. Simpang Pardomuan, Dusun Bulutolang","Desa Sei Siarti,",Kecamatan Panai Tengah,LABUHANBATU,Johnson-Brown
100000005139,"Dusun 1,","Desa Iraono Lase,",Kecamatan Gunung Sitoli Aloâ€™oa,"GUNUNGSITOLI, KOTA","Flores, Wells and Reid"
100000005140,"Dusun 2,","Desa Hilisaloâ€™o,",Kecamatan Sitolu ori,NIAS UTARA,Morales and Sons
100000005141,Jl.Sekip  Dusun I Desa Payah Pasir,Ds Payah Pasir,Tebing Syahbandar,SERDANG BEDAGAI,Bates-Silva
100000005142,"Dusun I,","Desa Denai Kuala,",Kecamatan Pantai Labu,DELI SERDANG,"Grant, Garcia and Doyle"
100000005143,"Dusun II,","Desa Lestari Dadi,",Kecamatan Pegajahan,SERDANG BEDAGAI,Blackwell-Thomas
100000005147,"Dusun I,","Desa Tuhegafoa,",Kecamatan Loloâ€™wau,NIAS SELATAN,Vargas-Evans
100000005151,"Dusun IV Idanondrawa,","Desa Muzoi,",Kecamatan Lahewa Timur,NIAS UTARA,Armstrong-Simmons
100000005152,"Jl. Ampera, Dusun V Kacangan,","Desa Karang Gading,",Kecamatan Secanggang,LANGKAT,Marsh-White
100000005154,"Desa Iraonogeba,","Desa Iraonogeba,",Kecamatan Gunung Sitoli,"GUNUNGSITOLI, KOTA",Smith LLC
100000005155,"Desa Babah Buloh,","Desa Babah Buloh,",Kecamatan Sawang,ACEH UTARA,Moore-Murray
100000005156,Gampong Lampisan teungoh,Lampisan Teungoh,kec. Seulimeum,ACEH BESAR,Moore LLC
100000005159,"Desa Asan Kumbang,","Desa Asan Kumbang,",Kecamatan Bandar Dua,PIDIE,"Jackson, King and Spencer"
100000005161,"Muara Satu, Lhokseumawe",Desa Paloh Punti,Lhoksumawe,"LHOKSEUMAWE, KOTA",Walters Inc
100000005162,"Suka Makmur,Kec Singkil, Aceh Singkil",singkil,singkil,aceh singkil,Taylor-Winters
100000005164,"Desa Meulayu,","Desa Meulayu,","Kec. Indra Jaya,",PIDIE,Gibbs LLC
100000005165,"Dusun X Kp. Sukerejo,","Desa PerkSei Balai,",Kecamatan Sei Balai,BATU BARA,Lee-Nguyen
100000005166,Dusun I,Desa Air Putih,"Kecamatan Meranti,",ASAHAN,Avery LLC
100000005167,"Jalan Mujur Slesion Aek Kulim,","Desa Jambu Tonang,",Kecamatan Simangambat,PADANG LAWAS UTARA,Brown-Foster
100000005168,"Dusun IV,","Desa Pematang Rambai,",Kecamatan Tanjung Tiram,BATU BARA,Romero-Clark
100000005169,"Dusun III B,","Desa Sei Balai,","Kecamatan Sei Balai,",BATU BARA,"Villanueva, Woodard and Greene"
100000005170,"Desa Meranti Omas, IX-X,",Desa Meranti Omas,Kecamatan NA,LABUHANBATU UTARA,"Frost, Thompson and Jones"
100000005172,"Desa Tanjung Harapan Pekan,","Desa Tanjung Harapan Pekan,",Kecamatan Pangkatan,LABUHANBATU,Arnold LLC
100000005174,"Desa Aek Banban,","Desa Aek Banban,",Kecamatan Aek Songsongan,ASAHAN,Walker PLC
100000005175,"Desa Marjanji Aceh,","Desa Marjanji Aceh,",Kecamatan Aek Songsongan,ASAHAN,"Brandt, Schaefer and Taylor"
100000005176,"Rintis, Silangkitang Kb Labuhan Batu Utr",Rintis,Silangkitang,Labuhan Batu Selatan,"Williams, Foster and Anderson"
100000005177,"Dusun II,","Desa Hililawae,","Kecamatan Idano Gawo,",NIAS,Brock PLC
100000005178,"Desa Gabungan Hasang,","Desa Gabungan Hasang,",Kecamatan Barus,TAPANULI TENGAH,"Nelson, Clark and Barton"
100000005181,"Dusun V,","Desa Kota Tengah,",Kec. Dolok Masihul,SERDANG BEDAGAI,"Mccarthy, Robinson and Fisher"
100000005182,"Jalan Platina IV Lingkungan XI,","Kelurahan Titi Papan,",Kecamatan Medan Deli,"MEDAN, KOTA","Roberts, Pearson and Conway"
100000005183,"Desa Kampung Sawah,","Desa Kampung Sawah,",Kecamatan Natal,MANDAILING NATAL,Hernandez Inc
100000005185,"Jl. Suka Mulia, Gang Rejo RT 02/RW 01","Desa Pelawi Selatan,",Kecamatan Babalan,LANGKAT,Shaw-Steele
100000005186,"Desa Sikapas,","Desa Sikapas,",Kecamatan Muara Batang Gadis,MANDAILING NATAL,Garcia-Moore
100000005187,Lumban Dlok Pnyabungan SLT Mndailing Ntl,Lumban Torok,Panyabungan Selatan,Mandailing Natal,Sanchez PLC
100000005188,Dusun Hutapadang Desa Simanosor,Ds Simanosor,Sibabangun,Tapanuli Tengah,Roth-Taylor
100000005189,Jln. Lintas Manduamas,"Desa Sihordang,","Kecamatan Sirandorung,",TAPANULI TENGAH,"Rocha, Reynolds and West"
100000005191,"Dusun II, Hilimbowo","Desa Hiliduruwa,",Kecamatan Sawo,NIAS UTARA,Sanders-Tanner
100000005194,"Dusun Alue Bili,","Desa Pucuk Lembang,",Kec. Kluet Timur,ACEH SELATAN,Grimes Group
100000005195,"Dusun Suka Jaya,","Desa Padang Unoi,",Kecamatan Salang,SIMEULUE,Weaver LLC
100000005196,"Desa Lakubang,","Desa Lakubang,",Kecamatan Simeulue Tengah,SIMEULUE,Oconnor Ltd
100000005198,"Dusun Pangarungan,","Desa Bunut,",Kecamatan Torgamba,LABUHANBATU SELATAN,Morrison-Pierce
100000005200,Jl Pemekaran Dsn Aluran jaya Rt07 Rw02,Desa Penyaguhan,Kec. Batang Gansal,INDRAGIRI HULU,Mccall-Sullivan
100000005201,"Kantor estate PT.Jatim Jaya Perkasa,","Desa Sungai Majo,","Kec.Kubu Babusalam,",ROKAN HILIR,"Dixon, Bryant and Ball"
100000005202,Jl. Cipta Karya RT 003 RW 011,Kel. Tuah Karya,Kec. Tampan,"PEKANBARU, KOTA","Hart, Maldonado and Sandoval"
100000005204,"Jl. Siak 2 Arengka 2,","Kel. Labuh Baru Barat,",Kec. Payung Sekaki,"PEKANBARU, KOTA",Moore-Cox
100000005209,Jl.Ciptakarya,Kel. Tuah karya,Kec. Tampan,"PEKANBARU, KOTA",Johnson-Moody
100000005212,Jl.Merpati 4,Kel.Sidomulyo timur,Kec.Marpoyan damai,"PEKANBARU, KOTA","West, Williams and Mckenzie"
100000005231,Jalan Pasir Jambak-Tabing,Kel. Pasio Nan Tigo,Kec. Koto Tengah,"PADANG, KOTA",Jacobs and Sons
100000005234,Jl. Harapan JayaRT 01 RW 17,Kel. Sail,Kec. Tenayan Raya,"PEKANBARU, KOTA",Williams Group
100000005236,JL.Sultan agung RT.01 RW.05,Kel.sukamulya,Kec.Sail,"PEKANBARU, KOTA","Martinez, Kelly and Wiggins"
100000005239,Jl.suaso RT.06 RW.04,kel.tangkerang barat,kec.marpoyan damai,"PEKANBARU, KOTA",Bates Inc
100000005244,"Gg. Merak Kampung Sukamaju, Rt05 Rw03",Kel. Bati IX,Kec. Tanjung Pinang Timur,"TANJUNG PINANG, KOTA",Rodriguez Inc
100000005246,Jl Gergas Lorong cempaka biru RT 01/03,Dabo Singkep,Lingga,LINGGA,Garcia Inc
100000005248,"Kp Mekarsari RT03 / RT08,","Kel Pinang Kencana,",Kec Tj Pinang Timur,"TANJUNG PINANG, KOTA",Liu-Evans
100000005250,"Tanjung Piayu Laut, Rt 01 Rw 010,","Kel. Tanjung Piayu ,",Kec. Sei Beduk,"BATAM, KOTA",Sanchez Group
100000005254,Jl.Jadi mulya II Sei Meranti Rt.02/08,Desa tanjung medan,Kec.Pujud,ROKAN HILIR,Wright-Williams
100000005256,Jl. Haji Mukti rt 02 Rw 01,Desa Lukit,Kec.Merbau,KEPULAUAN MERANTI,"Williams, Bryant and Williams"
100000005258,Desa kadur,Desa kadur,Kec. RupatUtara,BENGKALIS,"Zamora, Stout and Washington"
100000005261,Jorong kayu pasak nagari sawareh Aia,Kayu Pasak,Kec.Plembayan,AGAM,Lewis Ltd
100000005264,Sei Lampang Jorong Tj.Beruang Nagari,Kajai,Talamau,Pasaman Barat,Carter PLC
100000005266,Jl. Jorong Pintu Rayo Aripan,Pintu Rayo Aripan,Kec. Singkarak,SOLOK,Silva-Hess
100000005268,Nagari Sialanggaung,Sialanggaung,Padang Bintungan,SIJUNJUNG,"Shields, Martin and Hebert"
100000005269,Pasar Simpang Tonang Jorong Tonang Raya,Simpang Tonang,Kec.II Koto,PASAMAN,Hansen-Mcdaniel
100000005274,Tinggam Jorong harapan Nagari Sliruik,Harapan,Kec. Talamau,PASAMAN,Wells-Schneider
100000005278,Matur Koto halalang barat,Desa Sikucur,Kec.V koto kape dalam,PADANG PARIAMAN,Taylor-Ortiz
100000005279,Sungai basa Duku Pilubang,Sungai Basa,Kec.Sungai Lima,PADANG PARIAMAN,Deleon PLC
100000005281,"jorong bawah, nagari sungai balantiak",Sungai Balantiak,kec.akabiluru,LIMA PULUH KOTA,"Diaz, Howard and Campbell"
100000005283,"Sayur maincat, jorong koto pinang",ujung gading,kec.lembah melintang,PASAMAN,"Snow, Hill and Riley"
100000005288,Empang Tanam Tapan Lunang Rokan Hulu,kubu tapan,basa ampek balai tapan,rokan hulu,Fisher-Patel
100000005289,Balai baik malai 3 koto,Baik Malai,kec.IV koto malintang,PADANG PARIAMAN,"Murphy, Ortiz and Salinas"
100000005291,Jl.Raya Suranti Lintas Padang Moko Moko,Suranti,Sutera,ROKAN HULU,Fox and Sons
100000005292,"Jl. Bandungan, Kenagarian Tanah Bekali,","Desa Lubuk Ubai,",Kec. Pancung Soal,PESISIR SELATAN,"Davis, Park and Montgomery"
100000005293,Jalan raya padang painan KM.33,Kampung siguntur tuo,Kec.koto 11 tarusan,PESISIR SELATAN,"Rogers, Stein and Fox"
100000005295,"Jl. Koto Saiyo, Kayu Kalek",Kambang,Kec. Lengayang,PESISIR SELATAN,Smith-Bradshaw
100000005300,"Jl. Lintas Gunung Putri, Tegul Tambun",Desa Kelarik Utara,Kec.Bunguran Barat,NATUNA,"Simmons, Carter and Lane"
100000005301,Jl Raya Pagang by Naggalo,Padang,Padang,"PADANG, KOTA",Munoz-Monroe
100000005303,Jl.pasir jambak-tabing,Kel.Pasia Nan Tigo,Kec.Koto Tengah,"PADANG, KOTA",Mills Ltd
100000005304,"Komplek Salingka Bungo Permai 1, RT6 RW4","Kel. Bungo Pasang ,",Kec. Koto Tangah,"PADANG, KOTA",Ramsey LLC
100000005307,Jl. kKompleks Wisma 3,Kel. Parupuak Tabing,Kec. Koto Tengah,"PADANG, KOTA","Pena, Pena and Thomas"
100000005312,Wodgalih RT.03 RW.08,Desa Bakalan,Kec. Purwantoro,WONOGIRI,"Green, Harris and Pace"
100000005313,Ds. Geneng RT.01 RW.04,Desa Geneng,Kec. Bulukerto,WONOGIRI,Grant Inc
100000005315,Ngroto RT.01 RW.02,Desa Ngroto,Kec. Kismantoro,WONOGIRI,Martin Inc
100000005316,RT. 003 RW.002,Ds. Babak Tulung,Kec. Sarang,REMBANG,"Stevenson, Francis and Jones"
100000005317,Dusun Sambirejo,Desa Bumiharjo,Kec. Nguntoronadi,WONOGIRI,"Ward, Mccoy and Harris"
100000005318,"Jl.Raya Bayat Trucut RT.01/04,","Ds.Jotangan,",Kec.Bayat,KLATEN,Taylor-Roberts
100000005321,Ds.Karangmangu RT.03/03,Karangmangu,Kec.Purwojati,BANYUMAS,Harmon Group
100000005322,Karangreja 2,Karangreja,Karangreja,PEMALANG,"Murphy, Wood and Jones"
